
2,OIL SEAL-T/M CASE,Pajero,NA1S25,12,65.7
4,DISC-CLUTCH,Pajero,NA3H25,26,10.95
6,WEATHERSHIELD PKGE-L,Pajero,ND0000,12,3.65
8,FUSIBLE LINK,Pajero,ND1Z45,24,62.05
10,PIPE ASSY-OIL,Pajero,ND1Z45,6,3.65
12,SPACER-FRT BRG,Pajero,ND1Z45,28,18.25
14,GASKET-AIR,Pajero,ND3V25,19,25.55
16,NOZZLE,Pajero,NF1V45,20,51.1
18,GASKET-T/BODY AIR VA,Pajero,NF5Z45,12,21.9
20,SCREW-HEADLAMP,Pajero,NG1V45,14,21.9
22,CLIP,Pajero,NG1V45,21,292
24,CLIP-DOOR TRIM,Pajero,NG1V45,13,116.8
26,CLIP-SCUFF PLATE-REA,Pajero,NG1V45,30,324.85
28,WEATHERSTRIP-F/DR WD,Pajero,NG1V45,22,14.6
30,SNAP-ROD-RH,Pajero,NG1V45,27,7.3
32,GASKET-BASE,Pajero,NG1V45,18,32.85
35,HOSE-RADIATOR-UPPER,Pajero,NG1V45,30,32.85
37,SEAT BELT-FRONT-LH-D,Pajero,NG1V45,11,3.65
39,SCREW-MACHINE-6X25MM,Pajero,NG1V45,15,105.85
41,PACKING,Pajero,NG3W25,13,87.6
43,CONNECTOR,Pajero,NG3W25,30,54.75
45,CAP ASSY,Pajero,NG3W25,24,29.2
48,TAPE-QTR-RH-DK.ORANG,Pajero,NG3W45,30,3.65
50,FUEL FILTER ASSEMBLY,Pajero,NG5Z45,20,3.65
52,COVER-G/SHIFT CONT L,Pajero,NG6Z45,23,32.85
54,MANUAL-WIRING HARNES,Pajero,NH0000,28,10.95
56,COMP & CLUTCH ASSY-T,Pajero,NH1V45,18,3.65
58,TUBE ASSY-F.D.R./EVA,Pajero,NH1V45,16,21.9
60,BRACKET-AIR COMPRESS,Pajero,NH1V45,2,25.55
62,SEAL KIT-FR BRAKE CA,Pajero,NH1V45,27,3.65
64,STOPPER-FR SUSP UPR,Pajero,NH1V45,24,3.65
66,HEADLINING-FR-L.BEIG,Pajero,NH1V45,27,18.25
69,BELT; ALTERNATOR & OT,Pajero,NH3V25,29,25.55
71,CABLE-ACCELERATOR,Pajero,NH3V25,20,18.25
74,HARNESS-CHASSIS-FR,Pajero,NH5W45,30,3.65
76,GASKET-T/F-G/SHFT CO,Pajero,NH6W45,16,65.7
78,GASKET-THERMOSTAT CA,Pajero,NH7W45,13,32.85
80,BRAKE PIN KIT,Pajero,NJ0000,27,7.3
82,MANUAL-WORKSHOP-CHAS,Pajero,NJ0000,25,14.6
84,O-RING-129.4MM,Pajero,NJ1V45,25,3.65
86,BOLT-3RD SEAT,Pajero,NJ3W45,19,105.85
88,GARNISH-FR DOOR-LH-S,Pajero,NJ3Z45,28,3.65
90,VALVE-AIR CLEANER UN,Pajero,NJ5V25,16,3.65
93,DECAL-DOHC-24 V6 350,Pajero,NJ7W45,17,18.25
95,SPARE WHEEL COVER-23,Pajero,NK1V45,25,3.65
97,HOLDER-SUNVISOR-L.GR,Pajero,NK1V45,13,91.25
99,DUCT-AIR CLEANER-INT,Pajero,NK1V45,13,18.25
